Player,Year,Team,Stat Type
Albert Wilson,2013,GAST,Kickoff Return
William Likely,2013,MD,Kickoff Return
Joe Craig,2013,MEM,Kickoff Return
John Ross,2013,WASH,Kickoff Return
Myles Willis,2013,BC,Kickoff Return
Trey Williams,2013,TAMU,Kickoff Return
Bernard Reedy,2013,TOL,Kickoff Return
Rannell Hall,2013,UCF,Kickoff Return
Jamill Smith,2013,BALL,Kickoff Return
Devin Campbell,2013,BUFF,Kickoff Return
Trey Dudley-Giles,2013,MASS,Kickoff Return
Brelan Chancellor,2013,UNT,Kickoff Return
V'Angelo Bentley,2013,ILL,Kickoff Return
Solomon Patton,2013,FLA,Kickoff Return
Christion Jones,2013,ALA,Kickoff Return
J.D. McKissic,2013,ARST,Kickoff Return
Akeem Hunt,2013,PUR,Kickoff Return
Marcus Jones,2013,MINN,Kickoff Return
Kermit Whitfield,2013,FSU,Kickoff Return
J.J Nelson,2013,UAB,Kickoff Return
Kenny Bell,2013,NEB,Kickoff Return
Jerry Harris,2013,CMU,Kickoff Return
Dillon Root,2013,FRES,Kickoff Return
Marcus Murphy,2013,MIZZ,Kickoff Return
Brandon Smith,2013,TXST,Kickoff Return
Tyler Lockett,2013,KSST,Kickoff Return
Darryl Surgent,2013,ULL,Kickoff Return
T.J. Glover,2013,USA,Kickoff Return
DeVon Edwards,2013,DUKE,Kickoff Return
Darrius Sims,2013,VAN,Kickoff Return
Stacy Coley,2013,MIA,Kickoff Return
Marcus Thomas,2013,NAVY,Kickoff Return
Lance Ray,2013,ECU,Kickoff Return
JaCorey Shepherd,2013,KAN,Kickoff Return
Wendell Smallwood,2013,WVU,Kickoff Return
Rickey Galvin,2013,WSU,Kickoff Return
Adam Shapiro,2013,NMST,Kickoff Return
Kenzel Doe,2013,WISC,Kickoff Return
Cortney Davis,2013,ULM,Kickoff Return
Dontre Wilson,2013,OSU,Kickoff Return
Darius Jennings,2013,UVA,Kickoff Return
Janarion Grant,2013,RUT,Kickoff Return
Jaylen Walton,2013,MISS,Kickoff Return
Ernest Calhoun,2013,KENT,Kickoff Return
De'Anthony Thomas,2013,ORE,Kickoff Return
T.J. Logan,2013,UNC,Kickoff Return
Javess Blue,2013,KY,Kickoff Return
Marcus Sullivan,2013,UNLV,Kickoff Return
Marion Grice,2013,AZST,Kickoff Return
Anthony LaCoste,2013,AF,Kickoff Return
Devrin Young,2013,TENN,Kickoff Return
Geno Lewis,2013,PSU,Kickoff Return
Roy Finch,2013,OKLA,Kickoff Return
Matthew Harris,2013,NW,Kickoff Return
Corey Coleman,2013,BAY,Kickoff Return
Paris Logan,2013,NIU,Kickoff Return
Demitri Knowles,2013,VT,Kickoff Return
Jahad Thomas,2013,TEM,Kickoff Return
Justin Gilbert,2013,OKST,Kickoff Return
Steven Manfro,2013,UCLA,Kickoff Return
Jameon Lewis,2013,MSST,Kickoff Return
Lyle McCombs,2013,CONN,Kickoff Return
Lafayette Pitts,2013,PITT,Kickoff Return
Kam Jones,2013,UTSA,Kickoff Return
Tay Glover-Wright,2013,USU,Kickoff Return
Tyler Boyd,2013,PITT,Kickoff Return
T.J. Thorpe,2013,UNC,Kickoff Return
Korliss Marshall,2013,ARK,Kickoff Return
Reggie Whatley,2013,MTSU,Kickoff Return
Devin Bass,2013,OHIO,Kickoff Return
Justin Sims,2013,USM,Kickoff Return
Shane Wynn,2013,IND,Kickoff Return
Lyle Fitte,2013,LT,Kickoff Return
Keith Whitely,2013,UNLV,Kickoff Return
Chris Dunkley,2013,USF,Kickoff Return
Chris Gant,2013,HAW,Kickoff Return
Jakeem Grant,2013,TTU,Kickoff Return
Duke Johnson,2013,MIA,Kickoff Return
Bryan Douglas,2013,BSU,Kickoff Return
Tre Mason,2013,AUB,Kickoff Return
Da'Mari Scott,2013,FRES,Kickoff Return
Tim Crawley,2013,SJSU,Kickoff Return
Quron Pratt,2013,RUT,Kickoff Return
John Ross,2014,WASH,Kickoff Return
DeAndre Reaves,2014,MRSH,Kickoff Return
Janarion Grant,2014,RUT,Kickoff Return
Myles Willis,2014,BC,Kickoff Return
Christion Jones,2014,ALA,Kickoff Return
Phillip Lindsay,2014,COL,Kickoff Return
J.J Nelson,2014,UAB,Kickoff Return
Carlos Henderson,2014,LT,Kickoff Return
R.J. Shelton,2014,MSU,Kickoff Return
Darius Phillips,2014,WMU,Kickoff Return
Tyler Cain,2014,ULM,Kickoff Return
JaCorey Shepherd,2014,KAN,Kickoff Return
Amir Carlisle,2014,ND,Kickoff Return
Darrius Sims,2014,VAN,Kickoff Return
Deion Sanders Jr.,2014,SMU,Kickoff Return
Malcolm Marable,2014,ORST,Kickoff Return
DeVon Edwards,2014,DUKE,Kickoff Return
Mario Alford,2014,WVU,Kickoff Return
Autrey Golden,2014,UTEP,Kickoff Return
Tyreek Hill,2014,OKST,Kickoff Return
Raheem Mostert,2014,PUR,Kickoff Return
Arkeel Newsome,2014,CONN,Kickoff Return
Johnny Holton,2014,CINN,Kickoff Return
Alex Ross,2014,OKLA,Kickoff Return
Jamal Golden,2014,GT,Kickoff Return
Ernest Calhoun,2014,KENT,Kickoff Return
Chandler Worthy,2014,TROY,Kickoff Return
Reggie Whatley,2014,MTSU,Kickoff Return
V'Angelo Bentley,2014,ILL,Kickoff Return
Tyrell Johnson,2014,ARIZ,Kickoff Return
Adoree' Jackson,2014,USC,Kickoff Return
Deionte Gaines,2014,CSU,Kickoff Return
Kermit Whitfield,2014,FSU,Kickoff Return
Grant Haley,2014,PSU,Kickoff Return
Devin Campbell,2014,BUFF,Kickoff Return
Speedy Noil,2014,TAMU,Kickoff Return
T.J. Glover,2014,USA,Kickoff Return
Kishon Wilcher,2014,TOL,Kickoff Return
Kylen Towner,2014,WKU,Kickoff Return
Shon Carson,2014,SCAR,Kickoff Return
Darius Jennings,2014,UVA,Kickoff Return
Leonard Fournette,2014,LSU,Kickoff Return
Michael Thomas,2014,USM,Kickoff Return
Kenzel Doe,2014,WISC,Kickoff Return
Richard Leonard,2014,FIU,Kickoff Return
Tyler Allen,2014,EMU,Kickoff Return
D'Angelo Brewer,2014,TULS,Kickoff Return
Demarcus Ayers,2014,HOU,Kickoff Return
Ishmael Adams,2014,UCLA,Kickoff Return
Keelan Ewaliko,2014,HAW,Kickoff Return
Richard Montgomery,2014,IDHO,Kickoff Return
Eric Patterson,2014,BALL,Kickoff Return
Khary Bailey-Smith,2014,MASS,Kickoff Return
Chris Dunkley,2014,USF,Kickoff Return
Kaelin Clay,2014,UTAH,Kickoff Return
Marcus Sullivan,2014,UNLV,Kickoff Return
Stacy Coley,2014,MIA,Kickoff Return
Adam Hine,2014,BYU,Kickoff Return
Jonathan Parker,2014,IOWA,Kickoff Return
Dontre Wilson,2014,OSU,Kickoff Return
Daz'mond Patterson,2014,OHIO,Kickoff Return
Andre Debose,2014,FLA,Kickoff Return
Jakeem Grant,2014,TTU,Kickoff Return
Montrel Carter,2014,ULL,Kickoff Return
Stanley Williams,2014,KY,Kickoff Return
Jon Lee,2014,AF,Kickoff Return
Jalen Myrick,2014,MINN,Kickoff Return
Tyler Ervin,2014,SJSU,Kickoff Return
Marcus Murphy,2014,MIZZ,Kickoff Return
Rashaad Penny,2014,SDSU,Kickoff Return
William Likely,2014,MD,Kickoff Return
Lucky Whitehead,2014,FAU,Kickoff Return
Dillon Root,2014,FRES,Kickoff Return
Aregeros Turner,2014,NIU,Kickoff Return
Stefon Diggs,2014,MD,Kickoff Return
Cam Boyd,2014,ODU,Kickoff Return
Isaiah Jones,2014,ECU,Kickoff Return
Ervin Philips,2014,SYR,Kickoff Return
