Player,Year,Team,Stat Type
Noah Igbinoghene,2018,AUB,Kickoff Return
Isaiah Zuber,2018,KSST,Kickoff Return
Duke Shelley,2018,KSST,Kickoff Return
Keylon Stokes,2018,TULS,Kickoff Return
Jamal Parker,2018,KENT,Kickoff Return
Derion Kendrick,2018,CLEM,Kickoff Return
Penny Hart,2018,GAST,Kickoff Return
Adrian Killins,2018,UCF,Kickoff Return
Charlie Jones,2018,BUFF,Kickoff Return
Tyler Coyle,2018,CONN,Kickoff Return
Connor Heyward,2018,MSU,Kickoff Return
Terrence Horne,2018,USF,Kickoff Return
James Proche,2018,SMU,Kickoff Return
Evan Owens,2018,UNLV,Kickoff Return
James Wiggins,2018,CINN,Kickoff Return
Bryan Long Jr.,2018,OHIO,Kickoff Return
