Player,Team,Year,Att,Cmp,Pct,Yds,TD,TD%,Int,Sack,Rate,Stat Type
Bo Wallace,MISS,2012,368,235,63.9,"2,994",22,6.0,17,--,142.7,Passing
Logan Thomas,VT,2012,429,220,51.3,"2,976",18,4.2,16,--,115.9,Passing
A.J. McCarron,ALA,2012,314,211,67.2,"2,933",30,9.6,3,--,175.3,Passing
Garrett Gilbert,SMU,2012,506,268,53.0,"2,932",15,3.0,15,--,105.5,Passing
David Piland,HOU,2012,448,256,57.1,"2,929",16,3.6,12,--,118.5,Passing
Tyler Russell,MSST,2012,394,231,58.6,"2,897",24,6.1,10,--,135.4,Passing
Taylor Martinez,NEB,2012,368,228,62.0,"2,871",23,6.2,12,--,141.6,Passing
Terrance Broadway,ULL,2012,315,206,65.4,"2,847",17,5.4,9,--,153.4,Passing
Tyler Tettleton,OHIO,2012,367,228,62.1,"2,844",18,4.9,4,--,141.2,Passing
Brett Smith,WYO,2012,330,205,62.1,"2,837",27,8.2,6,--,157.7,Passing
Graham Wilbert,FAU,2012,405,261,64.4,"2,814",18,4.4,6,--,134.5,Passing
Cody Fajardo,NEV,2012,367,246,67.0,"2,786",20,5.4,9,--,143.9,Passing
Ryan Griffin,TULN,2012,394,245,62.2,"2,771",20,5.1,11,--,132.4,Passing
Andrew Manley,NMST,2012,384,207,53.9,"2,764",18,4.7,11,--,124.1,Passing
Cameron Coffman,IND,2012,407,247,60.7,"2,734",15,3.7,11,--,123.9,Passing
Joe Southwick,BSU,2012,371,248,66.8,"2,730",19,5.1,7,--,141.8,Passing
Keith Price,WASH,2012,432,263,60.9,"2,728",19,4.4,13,--,122.4,Passing
Terrance Owens,TOL,2012,350,215,61.4,"2,707",14,4.0,8,--,135.0,Passing
David Ash,TEX,2012,318,214,67.3,"2,699",19,6.0,8,--,153.3,Passing
Gary Nova,RUT,2012,388,221,57.0,"2,695",22,5.7,16,--,125.8,Passing
Marcus Mariota,ORE,2012,336,230,68.5,"2,677",32,9.5,6,--,163.2,Passing
Austin Brown,UAB,2012,355,205,57.7,"2,673",15,4.2,12,--,128.2,Passing
Chandler Whitmer,CONN,2012,361,208,57.6,"2,664",9,2.5,16,--,119.0,Passing
Collin Klein,KSST,2012,304,197,64.8,"2,641",16,5.3,9,--,149.2,Passing
Derek Thompson,UNT,2012,372,214,57.5,"2,629",14,3.8,14,--,121.8,Passing
Zach Mettenberger,LSU,2012,352,207,58.8,"2,609",12,3.4,7,--,128.3,Passing
Andrew Maxwell,MSU,2012,446,234,52.5,"2,606",13,2.9,9,--,107.1,Passing
Cody Green,TULS,2012,419,228,54.4,"2,592",17,4.1,11,--,114.5,Passing
Matt Schilz,BGSU,2012,413,228,55.2,"2,585",14,3.4,12,--,113.2,Passing
Logan Kilgore,MTSU,2012,335,212,63.3,"2,571",16,4.8,6,--,139.9,Passing
Nick Sherry,UNLV,2012,426,226,53.1,"2,544",16,3.8,17,--,107.6,Passing
