Player,Year,Team,Stat Type
Alec Vozenilek,2014,UVA,Punting
Joe Davidson,2014,BGSU,Punting
Riley Dixon,2014,SYR,Punting
Justin Manton,2014,ULM,Punting
Colby Cooke,2014,VAN,Punting
William Russ,2014,TEX,Punting
Brandon McKee,2014,USA,Punting
Daniel Carlson,2014,AUB,Punting
Matt Darr,2014,TENN,Punting
Sam Foltz,2014,NEB,Punting
Kyle Schmidt,2014,BALL,Punting
Korey Durkee,2014,WASH,Punting
Dalton Parks,2014,TULS,Punting
Sean Wale,2014,BSU,Punting
James Farrimond,2014,RICE,Punting
Jed Barnett,2014,OKLA,Punting
Nick O'Toole,2014,WVU,Punting
Kip Smith,2014,OKST,Punting
Mitch Bonnstetter,2014,OHIO,Punting
Tyler Wedel,2014,NIU,Punting
Jordan Dascalo,2014,WSU,Punting
Tyler Hull,2014,SCAR,Punting
Nathan Renfro,2014,MD,Punting
Kyle Brindza,2014,ND,Punting
Kris Albarado,2014,USC,Punting
Luke Ferguson,2014,ARST,Punting
Ethan Wood,2014,WYO,Punting
Blake Macek,2014,UNT,Punting
Scott Harding,2014,HAW,Punting
Nick Walsh,2014,KSST,Punting
Kristian Stern,2014,UTSA,Punting
Mike Sadler,2014,MSU,Punting
Christian Brinser,2014,MIZZ,Punting
Jay Mattox,2014,UTEP,Punting
Tommy Hibbard,2014,UNC,Punting
Cason Beatty,2014,FSU,Punting
Stephen Witkowski,2014,NMST,Punting
Jaron Bentrude,2014,USU,Punting
Garrett Swanson,2014,FRES,Punting
Tyler Grassman,2014,BUFF,Punting
Erich Toth,2014,IND,Punting
Jose Laphitzondo,2014,FIU,Punting
Bentlee Critcher,2014,APST,Punting
Logan Yunker,2014,UNLV,Punting
Ryan Johnson,2014,LOU,Punting
Matt Mengel,2014,UCLA,Punting
Ryan Nowicki,2014,GSU,Punting
Spencer Smith,2014,MEM,Punting
Sam Irwin-Hill,2014,ARK,Punting
Christian Koch,2014,MIOH,Punting
Ryan Winslow,2014,PITT,Punting
Owen Dubiel,2014,EMU,Punting
Ryan Kay,2014,TROY,Punting
A.J. Hughes,2014,VT,Punting
Cole Leininger,2014,CAL,Punting
Thomas Meadows,2014,PUR,Punting
Ben Rhyne,2014,STAN,Punting
Tom Hackett,2015,UTAH,Punting
Dalton Schomp,2015,FAU,Punting
Michael Carrizosa,2015,SJSU,Punting
Drew Kaser,2015,TAMU,Punting
Spencer Smith,2015,MEM,Punting
Sam Geraci,2015,CINN,Punting
Hayden Hunt,2015,CSU,Punting
Taylor Symmank,2015,TTU,Punting
Joe Davidson,2015,BGSU,Punting
Austin Rehkow,2015,IDHO,Punting
Trevor Daniel,2015,TENN,Punting
Nick O'Toole,2015,WVU,Punting
Johnny Townsend,2015,FLA,Punting
Drew Riggleman,2015,ARIZ,Punting
Rigoberto Sanchez,2015,HAW,Punting
Cason Beatty,2015,FSU,Punting
Nicholas Conte,2015,UVA,Punting
Tyler Newsome,2015,ND,Punting
Tyler Williams,2015,MRSH,Punting
Alan Luna,2015,UTEP,Punting
Wil Lutz,2015,GAST,Punting
Lumi Kaba,2015,TXST,Punting
Sean Kelly,2015,SCAR,Punting
Eric Keena,2015,UNT,Punting
Sam Foltz,2015,NEB,Punting
Caleb Houston,2015,UCF,Punting
JK Scott,2015,ALA,Punting
Cameron Johnston,2015,OSU,Punting
Riley Dixon,2015,SYR,Punting
Austin Barnes,2015,EMU,Punting
Korey Durkee,2015,WASH,Punting
Alexander Kinal,2015,WF,Punting
Will Monday,2015,DUKE,Punting
Peter Mortell,2015,MINN,Punting
Bentlee Critcher,2015,APST,Punting
Mattias Ciabatti,2015,USF,Punting
James Farrimond,2015,RICE,Punting
Matt Haack,2015,AZST,Punting
Worth Gregory,2015,ECU,Punting
Corey Fatony,2015,MIZZ,Punting
A.J. Hughes,2015,VT,Punting
Jonny Linehan,2015,BYU,Punting
Luke Ferguson,2015,ARST,Punting
Jake Hartbarger,2015,MSU,Punting
Aleem Sunanon,2015,USA,Punting
Logan Yunker,2015,UNLV,Punting
Justin Vogel,2015,MIA,Punting
Alex Starzyk,2015,TEM,Punting
Alex Robinson,2015,STAN,Punting
Steven Coutts,2015,ULL,Punting
Logan Laurent,2015,MASS,Punting
Logan Cooke,2015,MSST,Punting
Garrett Swanson,2015,FRES,Punting
Sean Wale,2015,BSU,Punting
Alex Boy,2015,NEV,Punting
Austin Seibert,2015,OKLA,Punting
Ryan Kay,2015,TROY,Punting
Erich Toth,2015,IND,Punting
Ethan Wood,2015,WYO,Punting
Zack Rogers,2015,UNM,Punting
Alex Howell,2015,BC,Punting
Jake Collins,2015,WKU,Punting
A.J. Cole III,2015,NCST,Punting
Nick Walsh,2015,KSST,Punting
Alex Barta,2015,NAVY,Punting
Michael Dickson,2015,TEX,Punting
Matthew Wyman,2015,KAN,Punting
Zach Paul,2015,AKR,Punting
Anthony Melchiori,2015,KENT,Punting
Aaron Dalton,2015,USU,Punting
Blake O'Neill,2015,MICH,Punting
Cole Leininger,2015,CAL,Punting
Toby Baker,2015,ARK,Punting
Dalton Parks,2015,TULS,Punting
Ryan Winslow,2015,PITT,Punting
Nick Porebski,2015,ORST,Punting
Gerald Shouse,2015,LT,Punting
Ryan Nowicki,2015,GSU,Punting
J. Schroeder,2015,WMU,Punting
Tyler Grassman,2015,BUFF,Punting
Kevin Phillips,2015,AUB,Punting
Tommy Openshaw,2015,VAN,Punting
Colin Downing,2015,IAST,Punting
Drew Galitz,2015,BAY,Punting
Jamie Keehn,2015,LSU,Punting
Will Gleeson,2015,MISS,Punting
Anthony Torres,2015,NMST,Punting
Kris Albarado,2015,USC,Punting
Stone Wilson,2015,FIU,Punting
Joshua Appleby,2015,LOU,Punting
Logan Piper,2015,HOU,Punting
Landon Foster,2015,KY,Punting
Tanner Blain,2015,SDSU,Punting
Alex Tardieu,2015,ARMY,Punting
Joe Schopper,2015,PUR,Punting
Ryan Frain,2015,ILL,Punting
Dillon Kidd,2015,IOWA,Punting
Satchel Ziffer,2015,ODU,Punting
Zach Sinor,2015,OKST,Punting
Alex Kinney,2015,COL,Punting
Johnny Townsend,2016,FLA,Punting
Mitch Wishnowsky,2016,UTAH,Punting
Michael Dickson,2016,TEX,Punting
JK Scott,2016,ALA,Punting
Cameron Johnston,2016,OSU,Punting
Joe Davidson,2016,BGSU,Punting
Spencer Smith,2016,MEM,Punting
Tyler Sarrazin,2016,USM,Punting
Sean Wale,2016,BSU,Punting
Dylan Klumph,2016,CAL,Punting
Rigoberto Sanchez,2016,HAW,Punting
Trevor Daniel,2016,TENN,Punting
Brandon McKee,2016,USA,Punting
Toby Baker,2016,ARK,Punting
Michael Carrizosa,2016,SJSU,Punting
Nicholas Conte,2016,UVA,Punting
Hayden Hunt,2016,CSU,Punting
Steven Coutts,2016,LA,Punting
Matt Haack,2016,AZST,Punting
Mason King,2016,LOU,Punting
Corey Fatony,2016,MIZZ,Punting
Justin Vogel,2016,MIA,Punting
Alex Boy,2016,NEV,Punting
Eric Keena,2016,UNT,Punting
Jake Bailey,2016,STAN,Punting
Austin Barnes,2016,EMU,Punting
Tyler Newsome,2016,ND,Punting
Kenny Allen,2016,MICH,Punting
Ryan Rodwell,2016,GT,Punting
Shane Tripucka,2016,TAMU,Punting
Blake Gillikin,2016,PSU,Punting
Zach Sinor,2016,OKST,Punting
Nick Ellis,2016,TOL,Punting
Nick Walsh,2016,KSST,Punting
Jake Collins,2016,WKU,Punting
Tom Sheldon,2016,UNC,Punting
Sterling Hofrichter,2016,SYR,Punting
Ryan Winslow,2016,PITT,Punting
Dalton Schomp,2016,FAU,Punting
Sean Kelly,2016,SCAR,Punting
Jonny Linehan,2016,BYU,Punting
Worth Gregory,2016,ECU,Punting
Kevin Phillips,2016,AUB,Punting
Josh Pollack,2016,ARIZ,Punting
Corey Bojorquez,2016,UNM,Punting
Caleb Houston,2016,UCF,Punting
Dom Maggio,2016,WF,Punting
Yannis Routsas,2016,UTSA,Punting
Lumi Kaba,2016,TXST,Punting
Payton Theisler,2016,NMST,Punting
Dalton Parks,2016,TULS,Punting
Austin Rehkow,2016,IDHO,Punting
Billy Kinney,2016,WVU,Punting
Evan Pantels,2016,UNLV,Punting
Sam Loy,2016,VAN,Punting
Logan Laurent,2016,MASS,Punting
Drew Galitz,2016,BAY,Punting
Cole Moos,2016,KAN,Punting
Josh Growden,2016,LSU,Punting
Justin Wain,2016,CONN,Punting
Kyle Schmidt,2016,BALL,Punting
Tanner Blain,2016,SDSU,Punting
Hunter Niswander,2016,NW,Punting
Ethan Wood,2016,WYO,Punting
Nick Porebski,2016,ORST,Punting
Alex Kinney,2016,COL,Punting
A.J. Cole III,2016,NCST,Punting
Jonathan Hernandez,2016,USF,Punting
Austin Seibert,2016,OKLA,Punting
Steve Brosy,2016,AF,Punting
Ron Coluzzi,2016,IOWA,Punting
Colin Downing,2016,IAST,Punting
Dayton Balvanz,2016,ULM,Punting
Alan Luna,2016,UTEP,Punting
Bentlee Critcher,2016,APST,Punting
Michael Farkas,2016,OHIO,Punting
Austin Parker,2016,DUKE,Punting
Jake Hartbarger,2016,MSU,Punting
Ryan Santoso,2016,MINN,Punting
Ryan Kay,2016,TROY,Punting
Tristan Vizcaino,2016,WASH,Punting
Jack Fox,2016,RICE,Punting
Joe Schopper,2016,PUR,Punting
Zachary Block,2016,TULN,Punting
Dane Roy,2016,HOU,Punting
Logan Tyler,2016,FSU,Punting
Derek Adams,2016,KENT,Punting
