Player,Team,Year,Att,Gain,Loss,Yds,Avg,TD,Stat Type
Keondre Wudtee,OKST,2018,12,89,8,81,6.75,0,Rushing
Johnnie Lang,IAST,2018,22,81,2,79,3.59,1,Rushing
Justin Silmon,KSST,2018,20,85,9,76,3.8,1,Rushing
Grayson Muehlstein,TCU,2018,35,114,43,71,2.03,0,Rushing
Alec Sinkfield,WVU,2018,19,76,8,68,3.58,1,Rushing
Sheldon Croney Jr.,IAST,2018,23,62,6,56,2.43,1,Rushing
Miles Kendrick,KAN,2018,16,70,23,47,2.94,1,Rushing
Carter Stanley,KAN,2018,21,88,50,38,1.81,0,Rushing
Ryan Haymaker,OKST,2018,15,38,1,37,2.47,0,Rushing
Craig Williams,BAY,2018,2,35,0,35,17.5,1,Rushing
KaVontae Turpin,TCU,2018,4,32,0,32,8.0,0,Rushing
Chris Platt,BAY,2018,2,31,0,31,15.5,0,Rushing
Steven Sims Jr.,KAN,2018,2,29,0,29,14.5,0,Rushing
KeSean Carter,TTU,2018,3,28,0,28,9.33,0,Rushing
Derius Davis,TCU,2018,5,33,5,28,5.6,0,Rushing
Lil'Jordan Humphrey,TEX,2018,6,25,0,25,4.17,1,Rushing
Kenedy Snell,TCU,2018,7,23,0,23,3.29,0,Rushing
Jeremiah Hall,OKLA,2018,4,21,0,21,5.25,0,Rushing
Austin Kendall,OKLA,2018,7,33,12,21,3.0,0,Rushing
Isaiah Zuber,KSST,2018,1,17,0,17,17.0,0,Rushing
Josh Fleeks,BAY,2018,9,32,16,16,1.78,1,Rushing
David Sills V,WVU,2018,0,14,0,14,0.0,0,Rushing
Reese Randall,KAN,2018,2,11,0,11,5.5,0,Rushing
Mason Reed,TTU,2018,5,13,2,11,2.2,0,Rushing
Abram Smith,BAY,2018,4,11,0,11,2.75,0,Rushing
Devin Duvernay,TEX,2018,1,10,0,10,10.0,0,Rushing
Ryan Malbrough,KAN,2018,3,10,0,10,3.33,0,Rushing
Colt Garrett,TTU,2018,2,9,0,9,4.5,0,Rushing
Shane Buechele,TEX,2018,10,35,27,8,0.8,0,Rushing
D'Shawn Jamison,TEX,2018,4,14,6,8,2.0,0,Rushing
Ryan Schadler,KAN,2018,1,8,0,8,8.0,0,Rushing
Jacques Guillot,TCU,2018,3,7,0,7,2.33,0,Rushing
Seth Collins,TTU,2018,2,10,4,6,3.0,0,Rushing
Tylan Wallace,OKST,2018,1,6,0,6,6.0,1,Rushing
Landon Wolf,OKST,2018,1,6,0,6,6.0,0,Rushing
Gerry Bohanon,BAY,2018,2,5,0,5,2.5,0,Rushing
Jalen McCleskey,OKST,2018,1,5,0,5,5.0,1,Rushing
Marcus Simms,WVU,2018,1,5,0,5,5.0,0,Rushing
De'Quan Bowman,TTU,2018,1,4,0,4,4.0,0,Rushing
Jarrison Stewart,TCU,2018,1,4,0,4,4.0,0,Rushing
Trey Lowe III,WVU,2018,2,9,6,3,1.5,0,Rushing
Tarique Milton,IAST,2018,1,3,0,3,3.0,0,Rushing
Trevon Wesco,WVU,2018,1,3,0,3,3.0,0,Rushing
Lorenzo Dorr,WVU,2018,2,2,0,2,1.0,0,Rushing
Garret McGuire,BAY,2018,1,2,0,2,2.0,0,Rushing
Adam Nunez,TCU,2018,0,2,0,2,0.0,0,Rushing
Kyle Porter,TEX,2018,1,2,0,2,2.0,1,Rushing
Karson Ringdahl,TCU,2018,1,2,0,2,2.0,0,Rushing
Tyquan Thornton,BAY,2018,2,3,1,2,1.0,0,Rushing
Kerr Johnson,KAN,2018,1,1,0,1,1.0,0,Rushing
Tyron Johnson,OKST,2018,1,1,0,1,1.0,1,Rushing
Marquise Brown,OKLA,2018,2,0,0,0,0.0,0,Rushing
Toby Gerhart,STAN,2009,343,"1,913",42,"1,871",5.45,28,Rushing
Ryan Mathews,FRES,2009,276,"1,850",42,"1,808",6.55,19,Rushing
Dion Lewis,PITT,2009,325,"1,862",63,"1,799",5.54,17,Rushing
Mark Ingram,ALA,2009,271,"1,678",20,"1,658",6.12,17,Rushing
Ryan Williams,VT,2009,293,"1,720",65,"1,655",5.65,21,Rushing
Donald Buckram,UTEP,2009,259,"1,638",44,"1,594",6.15,18,Rushing
LaMichael James,ORE,2009,230,"1,608",62,"1,546",6.72,14,Rushing
John Clay,WISC,2009,287,"1,548",31,"1,517",5.29,18,Rushing
Noel Devine,WVU,2009,241,"1,549",84,"1,465",6.08,13,Rushing
Montel Harris,BC,2009,308,"1,554",97,"1,457",4.73,14,Rushing
Jacquizz Rodgers,ORST,2009,273,"1,502",62,"1,440",5.27,21,Rushing
Joe Webb,UAB,2009,227,"1,619",192,"1,427",6.29,11,Rushing
Jonathan Dwyer,GT,2009,235,"1,438",43,"1,395",5.94,14,Rushing
Alfred Morris,FAU,2009,263,"1,429",37,"1,392",5.29,11,Rushing
Anthony Dixon,MSST,2009,257,"1,445",54,"1,391",5.41,12,Rushing
Lance Dunbar,UNT,2009,200,"1,433",55,"1,378",6.89,17,Rushing
Ben Tate,AUB,2009,263,"1,406",44,"1,362",5.18,10,Rushing
Bernard Pierce,TEM,2009,236,"1,407",46,"1,361",5.77,16,Rushing
Montario Hardesty,TENN,2009,282,"1,413",68,"1,345",4.77,13,Rushing
Vai Taua,NEV,2009,172,"1,359",14,"1,345",7.82,10,Rushing
Robert Turbin,USU,2009,207,"1,337",41,"1,296",6.26,13,Rushing
Daniel Thomas,KSST,2009,247,"1,290",25,"1,265",5.12,11,Rushing
Curtis Steele,MEM,2009,198,"1,286",47,"1,239",6.26,15,Rushing
Keith Toston,OKST,2009,227,"1,230",12,"1,218",5.37,11,Rushing
C.J. Spiller,CLEM,2009,216,"1,271",59,"1,212",5.61,12,Rushing
Alexander Robinson,IAST,2009,232,"1,232",37,"1,195",5.15,6,Rushing
Ricky Dobbs,NAVY,2009,315,"1,367",175,"1,192",3.78,27,Rushing
Shawnbrey McNeal,SMU,2009,236,"1,268",80,"1,188",5.03,12,Rushing
Jordan Todman,CONN,2009,235,"1,237",49,"1,188",5.06,14,Rushing
Colin Kaepernick,NEV,2009,161,"1,351",168,"1,183",7.35,16,Rushing
Dominique Lindsay,ECU,2009,239,"1,205",25,"1,180",4.94,6,Rushing
Dexter McCluster,MISS,2009,181,"1,202",33,"1,169",6.46,8,Rushing
Evan Royster,PSU,2009,205,"1,195",26,"1,169",5.7,6,Rushing
Brandon West,WMU,2009,214,"1,197",33,"1,164",5.44,10,Rushing
Dwight Dasher,MTSU,2009,224,"1,391",237,"1,154",5.15,13,Rushing
Jeremy Avery,BSU,2009,209,"1,207",57,"1,150",5.5,6,Rushing
Roy Helu,NEB,2009,220,"1,193",46,"1,147",5.21,10,Rushing
Daniel Porter,LT,2009,211,"1,199",67,"1,132",5.36,11,Rushing
Darius Marshall,MRSH,2009,227,"1,177",46,"1,131",4.98,11,Rushing
Frank Goodin,ULM,2009,219,"1,184",58,"1,126",5.14,13,Rushing
Chris Polk,WASH,2009,226,"1,189",76,"1,113",4.92,5,Rushing
Brynn Harvey,UCF,2009,261,"1,174",65,"1,109",4.25,14,Rushing
Andre Dixon,CONN,2009,239,"1,115",22,"1,093",4.57,14,Rushing
Harvey Unga,BYU,2009,208,"1,112",25,"1,087",5.23,11,Rushing
Eddie Wide,UTAH,2009,203,"1,101",32,"1,069",5.27,12,Rushing
Chad Spann,NIU,2009,179,"1,060",22,"1,038",5.8,19,Rushing
Joshua Nesbitt,GT,2009,279,"1,205",168,"1,037",3.72,18,Rushing
Luke Lippincott,NEV,2009,134,"1,049",15,"1,034",7.72,9,Rushing
Delone Carter,SYR,2009,236,"1,048",27,"1,021",4.33,11,Rushing
Andre Anderson,TULN,2009,238,"1,108",92,"1,016",4.27,8,Rushing
Seth Smith,NMST,2009,246,"1,086",70,"1,016",4.13,1,Rushing
Damion Fletcher,USM,2009,219,"1,050",35,"1,015",4.63,8,Rushing
Joe McKnight,USC,2009,164,"1,054",40,"1,014",6.18,8,Rushing
DaJuane Collins,TOL,2009,178,"1,026",35,991,5.57,14,Rushing
DeMaundray Woolridge,IDHO,2009,170,985,5,980,5.76,18,Rushing
Vince Murray,NAVY,2009,182,972,1,971,5.34,6,Rushing
Jared Tew,AF,2009,238,976,6,970,4.08,9,Rushing
Joe Martinek,RUT,2009,206,"1,018",51,967,4.69,9,Rushing
Shane Vereen,CAL,2009,183,"1,000",48,952,5.2,12,Rushing
Bobby Rainey,WKU,2009,144,"1,017",78,939,6.52,6,Rushing
Ralph Bolden,PUR,2009,200,"1,000",65,935,4.67,9,Rushing
Tim Tebow,FLA,2009,217,"1,088",178,910,4.19,14,Rushing
Derrick Locke,KY,2009,195,961,54,907,4.65,6,Rushing
Baron Batch,TTU,2009,168,903,19,884,5.26,14,Rushing
MiQuale Lewis,BALL,2009,181,947,76,871,4.81,5,Rushing
Jahvid Best,CAL,2009,141,930,63,867,6.15,12,Rushing
Asher Clark,AF,2009,151,909,44,865,5.73,7,Rushing
Derrick Washington,MIZZ,2009,190,909,44,865,4.55,10,Rushing
D.D. Kyles,MTSU,2009,139,879,22,857,6.17,3,Rushing
Christine Michael,TAMU,2009,166,878,34,844,5.08,10,Rushing
Adam Robinson,IOWA,2009,181,877,43,834,4.61,5,Rushing
Jermaine Thomas,FSU,2009,163,876,44,832,5.1,9,Rushing
Isaiah Pead,CINN,2009,121,843,37,806,6.66,9,Rushing
Rodney Stewart,COL,2009,198,872,68,804,4.06,9,Rushing
Dimitri Nance,AZST,2009,188,865,70,795,4.23,6,Rushing
Warren Norman,VAN,2009,145,802,19,783,5.4,3,Rushing
Terrelle Pryor,OSU,2009,162,"1,014",235,779,4.81,7,Rushing
Toney Baker,NCST,2009,160,801,28,773,4.83,6,Rushing
B.J. Daniels,USF,2009,175,"1,029",257,772,4.41,9,Rushing
Leonard Mason,CSU,2009,156,791,25,766,4.91,2,Rushing
Doug Martin,BSU,2009,129,778,13,765,5.93,15,Rushing
Cyrus Gray,TAMU,2009,159,794,37,757,4.76,5,Rushing
Joseph Turner,TCU,2009,147,768,14,754,5.13,11,Rushing
Trent Richardson,ALA,2009,145,784,33,751,5.18,8,Rushing
Chris Brown,OKLA,2009,182,791,42,749,4.12,7,Rushing
Jeff Demps,FLA,2009,99,763,18,745,7.53,7,Rushing
Brandon Saine,OSU,2009,145,768,29,739,5.1,4,Rushing
Mikel Leshoure,ILL,2009,108,765,31,734,6.8,5,Rushing
Reggie Arnold,ARST,2009,168,766,43,723,4.3,12,Rushing
Washaun Ealey,UGA,2009,125,728,11,717,5.74,3,Rushing
Ryan Houston,UNC,2009,191,733,20,713,3.73,9,Rushing
Dan LeFevour,CMU,2009,183,824,111,713,3.9,15,Rushing
Trent Steelman,ARMY,2009,202,855,149,706,3.5,5,Rushing
Willie Geter,BGSU,2009,176,770,65,705,4.01,9,Rushing
DeMarco Murray,OKLA,2009,171,741,36,705,4.12,8,Rushing
Charles Sims,HOU,2009,132,718,20,698,5.29,9,Rushing
Armando Allen,ND,2009,142,733,36,697,4.91,3,Rushing
Graig Cooper,MIA,2009,134,719,24,695,5.19,4,Rushing
Princeton McCarty,IDHO,2009,115,696,16,680,5.91,3,Rushing
Matthew Tucker,TCU,2009,105,680,4,676,6.44,8,Rushing
LaMichael James,ORE,2010,294,"1,840",109,"1,731",5.89,21,Rushing
Denard Robinson,MICH,2010,256,"1,799",97,"1,702",6.65,14,Rushing
Mikel Leshoure,ILL,2010,281,"1,746",49,"1,697",6.04,17,Rushing
Jordan Todman,CONN,2010,334,"1,758",63,"1,695",5.07,14,Rushing
Bobby Rainey,WKU,2010,340,"1,711",62,"1,649",4.85,15,Rushing
Vai Taua,NEV,2010,284,"1,623",13,"1,610",5.67,19,Rushing
Daniel Thomas,KSST,2010,298,"1,615",30,"1,585",5.32,19,Rushing
Lance Dunbar,UNT,2010,274,"1,639",86,"1,553",5.67,13,Rushing
Kendall Hunter,OKST,2010,271,"1,594",46,"1,548",5.71,16,Rushing
Ronnie Hillman,SDSU,2010,262,"1,600",68,"1,532",5.85,17,Rushing
Zach Line,SMU,2010,244,"1,523",29,"1,494",6.12,10,Rushing
Cam Newton,AUB,2010,264,"1,662",189,"1,473",5.58,20,Rushing
Chris Polk,WASH,2010,260,"1,465",50,"1,415",5.44,9,Rushing
Bilal Powell,LOU,2010,229,"1,488",83,"1,405",6.14,11,Rushing
Chad Spann,NIU,2010,258,"1,429",41,"1,388",5.38,22,Rushing
Knile Davis,ARK,2010,204,"1,362",40,"1,322",6.48,13,Rushing
Rodney Stewart,COL,2010,290,"1,364",46,"1,318",4.54,10,Rushing
Anthony Allen,GT,2010,240,"1,346",30,"1,316",5.48,7,Rushing
Doug Martin,BSU,2010,201,"1,289",29,"1,260",6.27,12,Rushing
Roy Helu,NEB,2010,188,"1,292",47,"1,245",6.62,11,Rushing
Montel Harris,BC,2010,269,"1,278",35,"1,243",4.62,8,Rushing
Delone Carter,SYR,2010,231,"1,260",27,"1,233",5.34,9,Rushing
Jay Finley,BAY,2010,195,"1,245",27,"1,218",6.25,12,Rushing
DeMarco Murray,OKLA,2010,282,"1,253",39,"1,214",4.3,15,Rushing
Colin Kaepernick,NEV,2010,173,"1,309",103,"1,206",6.97,20,Rushing
Edwin Baker,MSU,2010,207,"1,246",45,"1,201",5.8,13,Rushing
Alex Green,HAW,2010,146,"1,235",36,"1,199",8.21,18,Rushing
Marcus Lattimore,SCAR,2010,249,"1,230",33,"1,197",4.81,17,Rushing
Jacquizz Rodgers,ORST,2010,256,"1,258",74,"1,184",4.62,14,Rushing
Lennon Creer,LT,2010,212,"1,248",67,"1,181",5.57,10,Rushing
Shane Vereen,CAL,2010,231,"1,225",58,"1,167",5.05,13,Rushing
Dan Herron,OSU,2010,216,"1,196",41,"1,155",5.35,16,Rushing
Stevan Ridley,LSU,2010,249,"1,187",40,"1,147",4.61,15,Rushing
Stepfan Taylor,STAN,2010,223,"1,175",38,"1,137",5.1,15,Rushing
Cyrus Gray,TAMU,2010,200,"1,180",47,"1,133",5.67,12,Rushing
Robbie Rouse,FRES,2010,205,"1,177",48,"1,129",5.51,8,Rushing
Johnathan Franklin,UCLA,2010,214,"1,193",66,"1,127",5.27,8,Rushing
Adonis Thomas,TOL,2010,175,"1,133",35,"1,098",6.27,8,Rushing
Michael Dyer,AUB,2010,182,"1,106",13,"1,093",6.01,5,Rushing
Ed Wesley,TCU,2010,166,"1,093",15,"1,078",6.49,11,Rushing
Dion Lewis,PITT,2010,219,"1,088",27,"1,061",4.84,13,Rushing
James White,WISC,2010,156,"1,086",34,"1,052",6.74,14,Rushing
Tauren Poole,TENN,2010,204,"1,085",51,"1,034",5.07,11,Rushing
Asher Clark,AF,2010,182,"1,081",50,"1,031",5.66,5,Rushing
Isaiah Pead,CINN,2010,157,"1,063",34,"1,029",6.55,6,Rushing
Evan Royster,PSU,2010,208,"1,042",28,"1,014",4.88,6,Rushing
Jared Hassin,ARMY,2010,191,"1,027",14,"1,013",5.3,9,Rushing
John Clay,WISC,2010,187,"1,028",16,"1,012",5.41,14,Rushing
Montee Ball,WISC,2010,163,"1,019",23,996,6.11,18,Rushing
Brandon Bolden,MISS,2010,163,"1,028",52,976,5.99,14,Rushing
Vick Ballard,MSST,2010,186,994,26,968,5.2,19,Rushing
Ricky Dobbs,NAVY,2010,266,"1,101",134,967,3.64,14,Rushing
Taylor Martinez,NEB,2010,162,"1,195",230,965,5.96,12,Rushing
Rex Burkhead,NEB,2010,172,990,39,951,5.53,7,Rushing
Alexander Robinson,IAST,2010,202,995,49,946,4.68,9,Rushing
Adam Robinson,IOWA,2010,203,993,52,941,4.64,10,Rushing
Noel Devine,WVU,2010,209,"1,013",77,936,4.48,6,Rushing
Alfred Morris,FAU,2010,227,983,55,928,4.09,7,Rushing
Phillip Tanner,MTSU,2010,160,978,50,928,5.8,13,Rushing
Orleans Darkwa,TULN,2010,184,958,33,925,5.03,11,Rushing
Ray Graham,PITT,2010,148,958,36,922,6.23,8,Rushing
Thomas Merriweather,MIOH,2010,176,967,46,921,5.23,12,Rushing
J.J. Di Luigi,BYU,2010,178,954,37,917,5.15,8,Rushing
Marc Tyler,USC,2010,171,930,17,913,5.34,9,Rushing
Kendrick Hardy,USM,2010,139,919,16,903,6.5,7,Rushing
Damien Berry,MIA,2010,190,930,31,899,4.73,5,Rushing
Ronnie Weaver,UCF,2010,186,946,56,890,4.78,11,Rushing
Derrick Locke,KY,2010,166,919,32,887,5.34,10,Rushing
Sam McGuffie,RICE,2010,197,947,64,883,4.48,6,Rushing
Alex Allen,AKR,2010,186,939,62,877,4.72,8,Rushing
Mark Ingram,ALA,2010,158,903,28,875,5.54,13,Rushing
Bryce Beall,HOU,2010,163,890,20,870,5.34,12,Rushing
Nathan Scheelhaase,ILL,2010,185,"1,048",180,868,4.69,5,Rushing
Alexander Teich,NAVY,2010,147,868,5,863,5.87,5,Rushing
Darren Evans,VT,2010,151,886,32,854,5.66,11,Rushing
Pat Shed,UAB,2010,157,901,54,847,5.39,3,Rushing
John Williams,ECU,2010,154,883,36,847,5.5,10,Rushing
Chris Thompson,FSU,2010,134,871,26,845,6.31,6,Rushing
Darriet Perry,FIU,2010,170,865,26,839,4.94,16,Rushing
Chandler Harnish,NIU,2010,137,946,110,836,6.1,7,Rushing
Matt Brown,TEM,2010,162,886,56,830,5.12,7,Rushing
Baron Batch,TTU,2010,177,830,14,816,4.61,5,Rushing
Washaun Ealey,UGA,2010,157,828,17,811,5.17,11,Rushing
Onterio McCalebb,AUB,2010,95,850,40,810,8.53,9,Rushing
Allen Bradford,USC,2010,110,821,27,794,7.22,5,Rushing
Tim Jefferson,AF,2010,154,868,74,794,5.16,15,Rushing
Moise Plancher,USF,2010,176,820,27,793,4.51,5,Rushing
Alvester Alexander,WYO,2010,189,908,116,792,4.19,14,Rushing
Cameron Marshall,AZST,2010,150,813,26,787,5.25,9,Rushing
Derrvin Speight,USU,2010,189,806,27,779,4.12,8,Rushing
Alex Gillett,EMU,2010,179,955,189,766,4.28,5,Rushing
Jamie Harper,CLEM,2010,197,838,78,760,3.86,7,Rushing
Terrelle Pryor,OSU,2010,135,898,144,754,5.59,4,Rushing
Keith Payne,UVA,2010,160,768,19,749,4.68,14,Rushing
James Sims,KAN,2010,168,749,7,742,4.42,9,Rushing
Joshua Nesbitt,GT,2010,166,876,139,737,4.44,10,Rushing
Bernard Pierce,TEM,2010,154,759,31,728,4.73,10,Rushing
Trent Steelman,ARMY,2010,197,841,120,721,3.66,11,Rushing
Josh Harris,WF,2010,126,764,44,720,5.71,7,Rushing
Davin Meggett,MD,2010,126,731,11,720,5.71,4,Rushing
Montee Ball,WISC,2011,307,"1,954",31,"1,923",6.26,33,Rushing
LaMichael James,ORE,2011,247,"1,870",65,"1,805",7.31,18,Rushing
Ronnie Hillman,SDSU,2011,311,"1,784",73,"1,711",5.5,19,Rushing
David Wilson,VT,2011,290,"1,846",137,"1,709",5.89,9,Rushing
Bobby Rainey,WKU,2011,369,"1,810",115,"1,695",4.59,13,Rushing
Trent Richardson,ALA,2011,283,"1,740",61,"1,679",5.93,21,Rushing
Robbie Rouse,FRES,2011,329,"1,607",58,"1,549",4.71,13,Rushing
Terrance Ganaway,BAY,2011,250,"1,566",19,"1,547",6.19,21,Rushing
John White IV,UTAH,2011,316,"1,609",90,"1,519",4.81,15,Rushing
Robert Turbin,USU,2011,249,"1,538",21,"1,517",6.09,19,Rushing
Chris Polk,WASH,2011,293,"1,535",47,"1,488",5.08,12,Rushing
Bernard Pierce,TEM,2011,273,"1,518",37,"1,481",5.42,27,Rushing
Branden Oliver,BUFF,2011,306,"1,444",49,"1,395",4.56,13,Rushing
Marcus Coker,IOWA,2011,281,"1,417",33,"1,384",4.93,15,Rushing
Chandler Harnish,NIU,2011,194,"1,510",131,"1,379",7.11,11,Rushing
Rex Burkhead,NEB,2011,284,"1,406",49,"1,357",4.78,15,Rushing
Stepfan Taylor,STAN,2011,242,"1,363",33,"1,330",5.5,10,Rushing
Isi Sofele,CAL,2011,252,"1,382",60,"1,322",5.25,10,Rushing
Doug Martin,BSU,2011,263,"1,375",76,"1,299",4.94,16,Rushing
Lamar Miller,MIA,2011,227,"1,335",63,"1,272",5.6,9,Rushing
Isaiah Pead,CINN,2011,237,"1,338",79,"1,259",5.31,12,Rushing
Giovani Bernard,UNC,2011,239,"1,324",71,"1,253",5.24,13,Rushing
Michael Dyer,AUB,2011,242,"1,293",51,"1,242",5.13,10,Rushing
Silas Redd,PSU,2011,244,"1,262",21,"1,241",5.09,7,Rushing
Zach Line,SMU,2011,208,"1,256",32,"1,224",5.88,17,Rushing
Joseph Randle,OKST,2011,208,"1,248",32,"1,216",5.85,24,Rushing
Zac Stacy,VAN,2011,201,"1,267",74,"1,193",5.94,14,Rushing
Vick Ballard,MSST,2011,193,"1,228",39,"1,189",6.16,10,Rushing
Alfred Morris,FAU,2011,235,"1,238",52,"1,186",5.05,9,Rushing
Andre Ellington,CLEM,2011,223,"1,218",40,"1,178",5.28,11,Rushing
Denard Robinson,MICH,2011,221,"1,349",173,"1,176",5.32,16,Rushing
Henry Josey,MIZZ,2011,145,"1,191",23,"1,168",8.06,9,Rushing
Lyle McCombs,CONN,2011,275,"1,244",93,"1,151",4.19,7,Rushing
Kedrick Rhodes,FIU,2011,234,"1,194",45,"1,149",4.91,8,Rushing
Collin Klein,KSST,2011,317,"1,448",307,"1,141",3.6,27,Rushing
Chris Nwoke,CSU,2011,200,"1,176",46,"1,130",5.65,9,Rushing
Lance Dunbar,UNT,2011,269,"1,197",82,"1,115",4.14,10,Rushing
Asher Clark,AF,2011,163,"1,155",45,"1,110",6.81,7,Rushing
Cierre Wood,ND,2011,217,"1,186",84,"1,102",5.08,9,Rushing
Kenny Turner,NMST,2011,219,"1,141",67,"1,074",4.9,10,Rushing
Adonis Thomas,TOL,2011,171,"1,114",43,"1,071",6.26,12,Rushing
Raymond Maples,ARMY,2011,146,"1,078",12,"1,066",7.3,4,Rushing
Antwon Bailey,SYR,2011,240,"1,097",46,"1,051",4.38,6,Rushing
Cameron Marshall,AZST,2011,230,"1,098",48,"1,050",4.57,18,Rushing
Cyrus Gray,TAMU,2011,198,"1,105",60,"1,045",5.28,12,Rushing
Fitzgerald Toussaint,MICH,2011,187,"1,091",50,"1,041",5.57,9,Rushing
Curtis McNeal,USC,2011,145,"1,038",33,"1,005",6.93,6,Rushing
Tevin Washington,GT,2011,243,"1,126",139,987,4.06,14,Rushing
Donte Harden,OHIO,2011,187,"1,035",49,986,5.27,2,Rushing
James Franklin,MIZZ,2011,217,"1,145",164,981,4.52,15,Rushing
Johnathan Franklin,UCLA,2011,166,"1,003",27,976,5.88,5,Rushing
John Hubert,KSST,2011,200,"1,034",64,970,4.85,3,Rushing
MarQueis Gray,MINN,2011,199,"1,090",124,966,4.85,6,Rushing
Jawon Chisholm,AKR,2011,218,"1,021",60,961,4.41,5,Rushing
Ray Graham,PITT,2011,164,991,33,958,5.84,9,Rushing
Jasmin Hopkins,NIU,2011,187,997,41,956,5.11,15,Rushing
Le'Veon Bell,MSU,2011,182,987,39,948,5.21,13,Rushing
Kenjon Barner,ORE,2011,152,971,32,939,6.18,11,Rushing
Orleans Darkwa,TULN,2011,210,964,40,924,4.4,13,Rushing
Matt Brown,TEM,2011,155,947,31,916,5.91,6,Rushing
Perry Jones,UVA,2011,184,960,45,915,4.97,5,Rushing
Kriss Proctor,NAVY,2011,211,"1,065",151,914,4.33,14,Rushing
Lampford Mark,NEV,2011,159,929,18,911,5.73,10,Rushing
Brandon Rutley,SJSU,2011,216,955,52,903,4.18,12,Rushing
Christine Michael,TAMU,2011,149,920,21,899,6.03,8,Rushing
Jawan Jamison,RUT,2011,231,996,99,897,3.88,9,Rushing
James Washington,NCST,2011,226,925,28,897,3.97,7,Rushing
Davin Meggett,MD,2011,171,922,26,896,5.24,4,Rushing
Ja'Terian Douglas,TULS,2011,112,916,33,883,7.88,4,Rushing
Alexander Teich,NAVY,2011,186,886,3,883,4.75,4,Rushing
Trey Watts,TULS,2011,157,913,32,881,5.61,3,Rushing
Waymon James,TCU,2011,121,884,9,875,7.23,6,Rushing
Taylor Martinez,NEB,2011,188,"1,040",166,874,4.65,9,Rushing
Michael Smith,USU,2011,114,885,15,870,7.63,9,Rushing
Chris Rainey,FLA,2011,171,938,77,861,5.04,2,Rushing
Tyler Smith,RICE,2011,155,881,21,860,5.55,5,Rushing
Rodney Stewart,COL,2011,189,912,58,854,4.52,4,Rushing
Isaiah Crowell,UGA,2011,185,901,51,850,4.59,5,Rushing
Anthon Samuel,BGSU,2011,144,874,30,844,5.86,5,Rushing
Lennon Creer,LT,2011,198,878,40,838,4.23,9,Rushing
Joe Banyard,UTEP,2011,127,867,35,832,6.55,6,Rushing
Brandon Pendergrass,WF,2011,188,887,64,823,4.38,9,Rushing
Charles Sims,HOU,2011,110,834,13,821,7.46,9,Rushing
Marcus Lattimore,SCAR,2011,163,835,17,818,5.02,10,Rushing
Darrell Scott,USF,2011,153,824,10,814,5.32,5,Rushing
Stephen Houston,IND,2011,151,833,31,802,5.31,8,Rushing
Jonas Gray,ND,2011,114,812,21,791,6.94,12,Rushing
Jahwan Edwards,BALL,2011,178,811,25,786,4.42,11,Rushing
Derrick Coleman,UCLA,2011,152,794,29,765,5.03,11,Rushing
Michael Ford,LSU,2011,127,772,16,756,5.95,7,Rushing
James White,IAST,2011,158,819,65,754,4.77,8,Rushing
Malcolm Brown,TEX,2011,172,779,37,742,4.31,5,Rushing
Dustin Garrison,WVU,2011,136,777,35,742,5.46,6,Rushing
Alex Gillett,EMU,2011,169,918,182,736,4.36,3,Rushing
Jamal Woodyard,USM,2011,110,766,34,732,6.65,3,Rushing
Michael Hayes,HOU,2011,138,751,24,727,5.27,11,Rushing
James Sims,KAN,2011,182,747,20,727,3.99,9,Rushing
Ed Wesley,TCU,2011,120,745,19,726,6.05,6,Rushing
Braxton Miller,OSU,2011,159,951,236,715,4.5,7,Rushing
James White,WISC,2011,141,741,28,713,5.06,6,Rushing
Ka'Deem Carey,ARIZ,2012,303,"1,975",46,"1,929",6.37,23,Rushing
Stefphon Jefferson,NEV,2012,375,"1,947",64,"1,883",5.02,24,Rushing
Montee Ball,WISC,2012,356,"1,909",79,"1,830",5.14,22,Rushing
Jordan Lynch,NIU,2012,294,"1,951",136,"1,815",6.17,19,Rushing
Le'Veon Bell,MSU,2012,382,"1,844",51,"1,793",4.69,12,Rushing
Kenjon Barner,ORE,2012,278,"1,849",82,"1,767",6.36,21,Rushing
Johnathan Franklin,UCLA,2012,282,"1,819",85,"1,734",6.15,13,Rushing
Antonio Andrews,WKU,2012,304,"1,784",56,"1,728",5.68,11,Rushing
Beau Blankenship,OHIO,2012,312,"1,642",38,"1,604",5.14,15,Rushing
Stepfan Taylor,STAN,2012,322,"1,588",58,"1,530",4.75,13,Rushing
Kerwynn Williams,USU,2012,218,"1,583",71,"1,512",6.94,15,Rushing
David Fluellen,TOL,2012,259,"1,550",52,"1,498",5.78,13,Rushing
Zurlon Tipton,CMU,2012,252,"1,536",39,"1,497",5.94,19,Rushing
Robbie Rouse,FRES,2012,282,"1,555",65,"1,490",5.28,12,Rushing
Kasey Carrier,UNM,2012,255,"1,498",29,"1,469",5.76,15,Rushing
Adam Muema,SDSU,2012,237,"1,502",44,"1,458",6.15,16,Rushing
Bishop Sankey,WASH,2012,289,"1,491",52,"1,439",4.98,16,Rushing
Dri Archer,KENT,2012,159,"1,482",53,"1,429",8.99,16,Rushing
Joseph Randle,OKST,2012,274,"1,457",40,"1,417",5.17,14,Rushing
Jahwan Edwards,BALL,2012,232,"1,427",17,"1,410",6.08,14,Rushing
Johnny Manziel,TAMU,2012,201,"1,571",161,"1,410",7.01,21,Rushing
