Player,Year,Team,Stat Type
Ty Long,2014,UAB,Kicking
Brent Zuzo,2014,NEV,Kicking
Justin Manton,2014,ULM,Kicking
Tyler Hadden,2014,HAW,Kicking
Jay Mattox,2014,UTEP,Kicking
Niklas Sade,2014,NCST,Kicking
Nick Diaz,2014,USU,Kicking
Shawn Moffitt,2014,UCF,Kicking
Ryan Santoso,2014,MINN,Kicking
Paul Griggs,2014,PUR,Kicking
Trevor Moore,2014,UNT,Kicking
Corey Acosta,2014,USM,Kicking
Josiah Yazdani,2014,OHIO,Kicking
Alex Hanks,2014,GSU,Kicking
Michael Badgley,2014,MIA,Kicking
Andre Heidari,2014,USC,Kicking
Greg Joseph,2014,FAU,Kicking
Jonathan Barnes,2014,LT,Kicking
Marshall Koehn,2014,IOWA,Kicking
Austin Taylor,2014,FIU,Kicking
Cody Clark,2014,MTSU,Kicking
Matt Wile,2014,MICH,Kicking
Ryan Bustin,2014,TTU,Kicking
Kody Kroening,2014,FRES,Kicking
Nick Rose,2014,TEX,Kicking
Sean Ianno,2014,UTSA,Kicking
Carl Salazar,2014,TULS,Kicking
Austin Jones,2014,TEM,Kicking
Aleem Sunanon,2014,USA,Kicking
Quentin Breshears,2014,WSU,Kicking
Jack Mitchell,2014,NW,Kicking
Cole Netten,2014,IAST,Kicking
Colby Delahoussaye,2014,LSU,Kicking
Stuart Williams,2014,WYO,Kicking
Robert Stein,2014,AKR,Kicking
Francisco Velez,2014,FLA,Kicking
Jonathan Leiva,2014,UNLV,Kicking
Aidan Schneider,2014,ORE,Kicking
Brian Eavey,2014,CMU,Kicking
Will Johnson,2014,TXST,Kicking
Mike Weaver,2014,WF,Kicking
Austin Lopez,2014,SJSU,Kicking
Marvin Kloss,2014,USF,Kicking
Griffin Oakes,2014,IND,Kicking
Luke Ferguson,2014,ARST,Kicking
Greg Huegel,2015,CLEM,Kicking
Tyler Rausa,2015,BSU,Kicking
Aidan Schneider,2015,ORE,Kicking
Jake Elliott,2015,MEM,Kicking
Adam Griffith,2015,ALA,Kicking
Zane Gonzalez,2015,AZST,Kicking
Nick Weiler,2015,UNC,Kicking
Jonathan Barnes,2015,LT,Kicking
Griffin Oakes,2015,IND,Kicking
Garrett Schwettman,2015,WKU,Kicking
Austin Seibert,2015,OKLA,Kicking
Jaden Oberkrom,2015,TCU,Kicking
Conrad Ukropina,2015,STAN,Kicking
Ross Martin,2015,DUKE,Kicking
Gary Wunderlich,2015,MISS,Kicking
Aaron Medley,2015,TENN,Kicking
Josh Lambert,2015,WVU,Kicking
Andy Phillips,2015,UTAH,Kicking
Michael Badgley,2015,MIA,Kicking
Austin Jones,2015,TEM,Kicking
Casey Skowron,2015,ARIZ,Kicking
Roberto Aguayo,2015,FSU,Kicking
Andrew Gantz,2015,CINN,Kicking
Joey Slye,2015,VT,Kicking
Daniel Carlson,2015,AUB,Kicking
Ben Grogan,2015,OKST,Kicking
Redford Jones,2015,TULS,Kicking
Erik Powell,2015,WSU,Kicking
Donny Hageman,2015,SDSU,Kicking
Austin Rehkow,2015,IDHO,Kicking
Drew Brown,2015,NEB,Kicking
