Player,Team,Year,Pts,Tot,FG,Stat Type
Kerr Johnson,KAN,2018,12,2,0/0,Scoring
Marques Jones,BAY,2018,12,2,0/0,Scoring
J.D. King,OKST,2018,12,2,0/0,Scoring
Malik Knowles,KSST,2018,12,2,0/0,Scoring
Jalan McClendon,BAY,2018,12,2,0/0,Scoring
A.D. Miller,OKLA,2018,12,2,0/0,Scoring
Sewo Olonilua,TCU,2018,12,2,0/0,Scoring
Dalton Schoen,KSST,2018,12,2,0/0,Scoring
Marcus Simms,WVU,2018,12,2,0/0,Scoring
Dillon Stoner,OKST,2018,12,2,0/0,Scoring
Marcelias Sutton,OKLA,2018,12,2,0/0,Scoring
Landon Wolf,OKST,2018,12,2,0/0,Scoring
Jelani Woods,OKST,2018,12,2,0/0,Scoring
Andrew Hicks,KSST,2018,9,0,3-Jan,Scoring
Sheldon Croney Jr.,IAST,2018,8,1,0/0,Scoring
Kwamie Lassiter II,KAN,2018,8,1,0/0,Scoring
Chris Platt,BAY,2018,8,1,0/0,Scoring
Mavin Saunders,KAN,2018,8,1,0/0,Scoring
Dakota Allen,TTU,2018,6,1,0/0,Scoring
Jaelan Austin,TCU,2018,6,1,0/0,Scoring
