Player,Year,Team,Stat Type
Colin McGuire,2013,FRES,Kickoff
Bradley Pinion,2013,CLEM,Kickoff
Andre Heidari,2013,USC,Kickoff
John Wallace,2013,LOU,Kickoff
Jeremiah Detmer,2013,TOL,Kickoff
Nick Rose,2013,TEX,Kickoff
Kyle Brindza,2013,ND,Kickoff
Nate Freese,2013,BC,Kickoff
Hunter Stover,2013,ULL,Kickoff
Brian Davis,2013,ARST,Kickoff
Austin Grebe,2013,NAVY,Kickoff
Tony Miliano,2013,CINN,Kickoff
Sean Galvin,2013,UCF,Kickoff
Cade Foster,2013,ALA,Kickoff
Harrison Butker,2013,GT,Kickoff
Carey Spear,2013,VAN,Kickoff
Matt Wile,2013,MICH,Kickoff
Harrison Waid,2013,SJSU,Kickoff
Nick Hodgson,2013,OKLA,Kickoff
Scott Secor,2013,BALL,Kickoff
Justus Adams,2013,UNM,Kickoff
Marshall Morgan,2013,UGA,Kickoff
Ross Martin,2013,DUKE,Kickoff
Brad Craddock,2013,MD,Kickoff
Chris Hawthorne,2013,MINN,Kickoff
Nick Weiler,2013,UNC,Kickoff
Canon Rooker,2013,MTSU,Kickoff
Mike Meyer,2013,IOWA,Kickoff
Taylor Zalewski,2013,ILL,Kickoff
Brent Zuzo,2013,NEV,Kickoff
Sam Ficken,2013,PSU,Kickoff
Josiah Yazdani,2013,OHIO,Kickoff
Devon Bell,2013,MSST,Kickoff
Kramer Fyfe,2013,TTU,Kickoff
Chris Blewitt,2013,PITT,Kickoff
Nick Marsh,2013,RUT,Kickoff
Jeff Budzien,2013,NW,Kickoff
Mitch Anderson,2013,FAU,Kickoff
Cairo Santos,2013,TULN,Kickoff
Ty Long,2013,UAB,Kickoff
Tyler Hadden,2013,HAW,Kickoff
Jaden Oberkrom,2013,TCU,Kickoff
Sean Ianno,2013,UTSA,Kickoff
Michael Palardy,2013,TENN,Kickoff
Jed Solomon,2013,TROY,Kickoff
Will Johnson,2013,TXST,Kickoff
Niklas Sade,2013,NCST,Kickoff
Cole Way,2013,TULS,Kickoff
Andy Phillips,2013,UTAH,Kickoff
Connor Gagnon,2013,CMU,Kickoff
Briceton Cannada,2013,AF,Kickoff
Travis Coons,2013,WASH,Kickoff
Will Oliver,2013,COL,Kickoff
Tyler Grassman,2013,BUFF,Kickoff
Michael Molinari,2013,WVU,Kickoff
Vincenzo D'Amato,2013,CAL,Kickoff
Edwin Arceo,2013,IAST,Kickoff
Andrew Endicott,2013,WISC,Kickoff
Chad Christen,2013,CONN,Kickoff
Justin Manton,2013,ULM,Kickoff
Jay Mattox,2013,UTEP,Kickoff
Ryan Norton,2013,SYR,Kickoff
Mike Loftus,2013,SMU,Kickoff
Zach Hocker,2013,ARK,Kickoff
Jake Elliott,2013,MEM,Kickoff
Michael Bowlin,2013,WSU,Kickoff
Ka'imi Fairbairn,2013,UCLA,Kickoff
Nicolai Bornand,2013,UNLV,Kickoff
Jordan Williamson,2013,STAN,Kickoff
Joe Mansour,2013,KY,Kickoff
Seamus McMorrow,2013,SDSU,Kickoff
Kyle Clinton,2014,OSU,Kickoff
Dan Goodale,2014,BSU,Kickoff
Kevin Cronin,2014,MSU,Kickoff
Roberto Aguayo,2014,FSU,Kickoff
Marshall Morgan,2014,UGA,Kickoff
Alex Garoutte,2014,AZST,Kickoff
Casey Skowron,2014,ARIZ,Kickoff
Andrew Endicott,2014,WISC,Kickoff
Harrison Butker,2014,GT,Kickoff
Nick Hodgson,2014,OKLA,Kickoff
Jake Elliott,2014,MEM,Kickoff
Jeremiah Detmer,2014,TOL,Kickoff
Tony Miliano,2014,CINN,Kickoff
Michael Molinari,2014,WVU,Kickoff
Ka'imi Fairbairn,2014,UCLA,Kickoff
Ian Patterson,2014,KSST,Kickoff
Kyle Brindza,2014,ND,Kickoff
Warren Harvey,2014,ECU,Kickoff
Spencer Evans,2014,BAY,Kickoff
Daniel Carlson,2014,AUB,Kickoff
Matt Wogan,2014,ORE,Kickoff
Jared Roberts,2014,CSU,Kickoff
Anthony Farinella,2014,BGSU,Kickoff
Mike Mugler,2014,WKU,Kickoff
Taylor Bertolet,2014,TAMU,Kickoff
Chris Blewitt,2014,PITT,Kickoff
Drew Oehrle,2014,AF,Kickoff
Ty Long,2014,UAB,Kickoff
Jaden Oberkrom,2014,TCU,Kickoff
Brett Scanlon,2014,WMU,Kickoff
James Hairston,2014,RICE,Kickoff
Niklas Sade,2014,NCST,Kickoff
Brad Craddock,2014,MD,Kickoff
Nick Weiler,2014,UNC,Kickoff
Luke Ferguson,2014,ARST,Kickoff
Hunter Stover,2014,ULL,Kickoff
Andy Phillips,2014,UTAH,Kickoff
Ty Cummings,2014,HOU,Kickoff
Jack Willoughby,2014,DUKE,Kickoff
Bradley Pinion,2014,CLEM,Kickoff
Andrew Baggett,2014,MIZZ,Kickoff
James Langford,2014,CAL,Kickoff
Will Johnson,2014,TXST,Kickoff
Brent Zuzo,2014,NEV,Kickoff
Younghoe Koo,2014,GSU,Kickoff
Ryan Santoso,2014,MINN,Kickoff
Austin Grebe,2014,NAVY,Kickoff
Austin Hardin,2014,FLA,Kickoff
Jordan Williamson,2014,STAN,Kickoff
Jay Mattox,2014,UTEP,Kickoff
John Wallace,2014,LOU,Kickoff
Andrew Mikkelsen,2014,BYU,Kickoff
Adam Griffith,2014,ALA,Kickoff
Tristan Vizcaino,2014,WASH,Kickoff
Scott Secor,2014,BALL,Kickoff
Eric Keena,2014,UNT,Kickoff
Kyle Federico,2014,RUT,Kickoff
Kip Smith,2014,OKST,Kickoff
Landon Ard,2014,SCAR,Kickoff
Garrett Swanson,2014,FRES,Kickoff
Dylan Sims,2014,UVA,Kickoff
Marshall Koehn,2014,IOWA,Kickoff
Jake Thompson,2014,USU,Kickoff
Austin MacGinnis,2014,KY,Kickoff
Alex Howell,2014,BC,Kickoff
Nick Rose,2014,TEX,Kickoff
Will Oliver,2014,COL,Kickoff
Jason Sanders,2014,UNM,Kickoff
Cody Clark,2014,MTSU,Kickoff
Aaron Medley,2014,TENN,Kickoff
Sam Ficken,2014,PSU,Kickoff
Jim Cooper Jr.,2014,TEM,Kickoff
Ron Coluzzi,2014,CMU,Kickoff
Tyler Hadden,2014,HAW,Kickoff
Justin Vogel,2014,MIA,Kickoff
Greg Joseph,2014,FAU,Kickoff
Aleem Sunanon,2014,USA,Kickoff
Cole Netten,2014,IAST,Kickoff
Patrick Clarke,2014,BUFF,Kickoff
Logan Cooke,2014,MSST,Kickoff
Sean Galvin,2014,UCF,Kickoff
Matt Wile,2014,MICH,Kickoff
Seamus McMorrow,2014,SDSU,Kickoff
Kyle Fischer,2014,LT,Kickoff
Josiah Yazdani,2014,OHIO,Kickoff
Justin Manton,2014,ULM,Kickoff
Austin Taylor,2014,FIU,Kickoff
Austin Rehkow,2014,IDHO,Kickoff
Robert Stein,2014,AKR,Kickoff
Taylor Zalewski,2014,ILL,Kickoff
Corey Acosta,2014,USM,Kickoff
Blake Lucas,2014,MASS,Kickoff
Trent Domingue,2014,LSU,Kickoff
Erik Powell,2014,WSU,Kickoff
Jed Solomon,2014,TROY,Kickoff
Stuart Williams,2014,WYO,Kickoff
Jack Mitchell,2014,NW,Kickoff
Kaare Vedvik,2014,MRSH,Kickoff
Alex Wood,2014,USC,Kickoff
Kaleb Patterson,2014,MIOH,Kickoff
Nick Hodgson,2015,OKLA,Kickoff
Nick Weiler,2015,UNC,Kickoff
Jake Elliott,2015,MEM,Kickoff
Spencer Evans,2015,BAY,Kickoff
Adam Griffith,2015,ALA,Kickoff
Ty Cummings,2015,HOU,Kickoff
Matt Wogan,2015,ORE,Kickoff
Nathan Noble,2015,MISS,Kickoff
Tyler Rausa,2015,BSU,Kickoff
Luke Ferguson,2015,ARST,Kickoff
Jaden Oberkrom,2015,TCU,Kickoff
Griffin Oakes,2015,IND,Kickoff
Stephen Brauchle,2015,USM,Kickoff
Zane Gonzalez,2015,AZST,Kickoff
Tyler Tate,2015,BGSU,Kickoff
Ben Grogan,2015,OKST,Kickoff
Aaron Medley,2015,TENN,Kickoff
Derrick Mitchell,2015,WMU,Kickoff
Ka'imi Fairbairn,2015,UCLA,Kickoff
Donny Hageman,2015,SDSU,Kickoff
Andrew Gantz,2015,CINN,Kickoff
Jonathan Barnes,2015,LT,Kickoff
Roberto Aguayo,2015,FSU,Kickoff
Casey Skowron,2015,ARIZ,Kickoff
Tyler Newsome,2015,ND,Kickoff
Jack Willoughby,2015,OSU,Kickoff
Marshall Koehn,2015,IOWA,Kickoff
Preston Soper,2015,TULS,Kickoff
Zach Matics,2015,APST,Kickoff
Devon Bell,2015,MSST,Kickoff
